60,398,-67
60,401,-68
60,401,-68
62,401,-68
63,397,-67
64,399,-72
65,401,-200
66,402,-67
67,401,-67
67,402,-200
71,229,-67
71,230,-68
71,237,-67
71,265,-74
72,233,-68
72,272,-72
72,402,-200
73,244,-67
73,247,-66
73,404,-67
74,260,-77
75,248,-66
75,400,-200
77,402,-67
77,403,-67
78,229,-67
79,264,-74
79,399,-73
80,294,-73
81,252,-66
81,400,-67
81,400,-67
82,255,-74
83,247,-69
83,254,-68
83,402,-73
84,303,-73
85,238,-69
85,288,-72
86,284,-72
86,401,-72
87,301,-73
88,368,-76
89,305,-69
89,383,-76
91,234,-69
91,262,-65
91,262,-65
92,306,-69
92,358,-76
93,265,-67
94,267,-67
94,401,-72
97,232,-69
98,269,-67
98,353,-76
98,353,-200
98,354,-76
100,230,-69
100,326,-73
100,329,-68
100,401,-69
101,307,-73
101,337,-68
102,333,-68
102,394,-69
102,399,-69
103,272,-73
103,342,-69
103,380,-76
104,321,-73
105,273,-70
105,349,-200
105,349,-200
105,349,-69
105,350,-200
106,378,-76
108,276,-70
109,291,-70
110,235,-70
110,303,-68
110,308,-68
111,277,-70
112,230,-69
112,283,-70
113,314,-69
118,330,-69
118,333,-68
120,266,-73
120,271,-75
120,333,-68
120,334,-66
121,266,-75
121,370,-76
122,231,-68
122,336,-67
123,271,-73
123,277,-75
123,283,-75
123,336,-67
123,357,-62
124,353,-62
124,366,-70
125,267,-70
125,288,-72
125,349,-63
125,349,-62
125,366,-70
126,261,-70
128,340,-67
128,342,-63
129,338,-63
130,342,-63
131,249,-73
132,299,-72
133,230,-68
133,238,-70
133,321,-71
133,330,-71
133,337,-74
134,245,-73
134,311,-72
134,334,-67
136,345,-74
137,346,-63
138,241,-73
138,332,-67
139,237,-70
139,348,-74
140,349,-64
140,351,-64
141,234,-69
142,234,-69
142,351,-67
142,351,-67
143,336,-67
144,230,-69
144,351,-70
145,232,-69
145,235,-76
146,353,-67
147,229,-69
148,234,-71
148,353,-71
148,354,-71
148,354,-74
150,355,-60
151,226,-72
151,340,-67
151,355,-74
152,356,-70
153,227,-72
154,341,-65
154,357,-70
155,227,-68
156,355,-60
157,341,-65
158,355,-62
158,355,-62
158,355,-62
158,357,-71
159,230,-71
160,225,-68
161,353,-62
162,223,-69
162,353,-64
162,357,-71
163,223,-69
163,226,-70
164,217,-71
164,219,-69
165,225,-70
165,352,-64
170,223,-70
170,354,-69
172,341,-65
173,221,-69
175,220,-69
175,352,-64
177,351,-57
178,221,-70
178,351,-61
179,218,-69
179,220,-70
179,221,-71
180,352,-63
180,352,-57
182,353,-63
182,353,-69
183,222,-71
185,342,-68
187,220,-72
187,342,-68
187,353,-63
188,342,-65
189,350,-64
190,218,-69
190,222,-70
192,353,-59
193,219,-72
193,222,-70
194,341,-65
194,349,-64
195,218,-72
195,219,-72
197,217,-66
197,341,-65
197,355,-59
198,216,-72
198,219,-71
201,355,-65
202,215,-75
202,219,-67
202,219,-71
202,342,-61
202,349,-67
204,220,-66
204,354,-65
206,220,-75
206,344,-62
206,352,-68
206,352,-68
207,220,-67
207,220,-75
207,221,-74
207,351,-67
208,223,-74
208,345,-61
208,354,-62
209,220,-75
209,345,-64
211,350,-60
212,345,-64
213,350,-60
214,222,-68
214,350,-60
215,219,-67
216,342,-64
216,356,-63
218,221,-75
219,220,-67
219,350,-60
220,221,-73
222,222,-68
225,221,-71
227,350,-60
229,221,-68
230,221,-71
230,221,-73
232,348,-61
233,216,-69
233,354,-63
234,221,-68
234,221,-73
234,222,-68
237,214,-74
237,221,-70
237,347,-61
238,345,-58
238,345,-58
239,346,-59
242,347,-59
243,211,-74
243,221,-73
244,351,-64
246,346,-60
248,222,-70
248,342,-61
248,348,-64
249,346,-64
250,213,-69
252,220,-74
252,347,-60
253,223,-68
254,212,-69
255,219,-74
255,337,-61
255,347,-60
257,227,-68
260,350,-61
261,212,-67
261,344,-58
262,222,-74
262,329,-60
263,228,-69
263,350,-61
264,213,-67
264,326,-60
267,227,-69
268,213,-67
268,327,-55
270,222,-74
270,227,-68
270,348,-56
271,213,-68
271,214,-68
273,345,-60
275,218,-74
277,212,-68
277,225,-68
278,330,-55
279,225,-67
279,225,-67
280,350,-56
283,222,-70
284,344,-60
286,217,-69
286,349,-56
288,213,-68
289,222,-70
295,336,-55
296,347,-56
297,222,-68
298,210,-67
298,213,-69
300,340,-62
302,209,-67
304,223,-68
304,340,-58
305,347,-56
310,207,-69
310,210,-69
311,348,-62
312,223,-71
312,342,-58
312,343,-56
